searched_role,site,title,company,location,date_posted,salary
LLM Engineer,indeed,GenAI & LLM Engineer,Covalensedigital,"KA, IN",2026-01-29,₹7L - ₹12L PA 
LLM Engineer,indeed,Senior Machine Learning Engineer,Siemens,"UP, IN",2026-01-28,₹20L - ₹31L PA 
LLM Engineer,indeed,"Generative AI, LLM Engineer",MASTER MIND CONSULTANCY,"TN, IN",2026-01-19,₹10L - ₹26L PA 
LLM Engineer,indeed,Business Transformation Assoc Manager,Accenture,"HR, IN",2025-12-04,₹33L - ₹58L PA 
LLM Engineer,indeed,QA LLM Engineer,Talentica Software India,"MH, IN",2025-11-29,₹10L - ₹26L PA 
LLM Engineer,indeed,Data Science Manager - Supply Chain & Manufacturing,ZS Associates,"MH, IN",2025-11-17,₹33L - ₹58L PA 
LLM Engineer,indeed,Prompt/LLM Engineer,Nimble Solutions,"TS, IN",2025-10-15,₹10L - ₹26L PA 
LLM Engineer,indeed,Senior LLM Engineer,Finvest,"KA, IN",2025-03-17,₹20L - ₹31L PA 
LLM Engineer,indeed,LLM Engineer / Reseacher,Helius Technologies,IN,2023-11-28,₹10L - ₹26L PA 
Data Scientist,indeed,Artificial Intelligence Specialist,TriEdge Solutions,"DL, IN",2026-06-25,₹6L - ₹17L PA 
Data Scientist,indeed,SDET Architect,SymphonyAI,"KA, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Tech Lead / Staff Forward-Deployed Engineer,turing,"TS, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Data Engineering Consultant - AI Platform,Optum,"KA, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Lead Machine Learning Engineer,General Mills,"MH, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Senior Data Scientist,Zillow,"KA, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Associate III - Data Engineering,UST,"KL, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Lead I - Data Engineering,UST,"KL, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,"Associate Analyst, Data Science",Novartis,"TS, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Data Scientist,NOVNEX CORPORATION,"UP, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,"Senior Manager, Data Science - Forecasting",Amgen,"TS, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Principal Machine Learning Engineer - Forecasting,Amgen,"TS, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Associate Data Scientist,Amgen,"TS, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Principal Data Scientist,Amgen,"TS, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Sr Machine Learning Engineer,Amgen,"TS, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Sr Data Scientist,Amgen,"TS, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Product Leader 2,Genpact,"TS, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Lead Production Support Engineer,Konovo,"KA, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Principal Consultant- Databricks Developer,Genpact,"TS, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Senior Data Scientist,EPAM Systems,"HR, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Senior Data Scientist,EPAM Systems,"TS, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Senior Data Scientist,EPAM Systems,"MH, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Senior Data Scientist,EPAM Systems,"KA, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Lead Data Scientist,EPAM Systems,"TS, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Lead Data Scientist,EPAM Systems,"KA, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Lead Data Scientist,EPAM Systems,"MH, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Lead Data Scientist,EPAM Systems,"HR, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Senior Data Scientist,,"Remote, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Data engineer,bp,"MH, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,Bid Coordinator – Financial Services,SymphonyAI,"KA, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,"Regional Vice President, Channels & Alliances, Japan & Asia Pacific",Neo4j,"Remote, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,"Principal Data Scientist (Position located in Bengaluru, India)",KnowBe4,"KA, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Data Engineer,Barclays,"MH, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,Principal Architect AI Data Engineer,EXL Service,"MH, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Senior UX Designer,Motorola Solutions,"KA, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Sr. Business Analyst,sarvika technologies,"RJ, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Analyst - Brand Analytics,AstraZeneca,"TN, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,"Senior Manager, Data Scientist!",Genpact,"KA, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,"Data engineer (React, node js)",Induansh Private Limited,"Remote, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,Intern,Pfizer,"TN, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Senior Data Scientist,Rytsense Technologies Private Limited,"TN, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Senior Data Scientist,Rytsense Technologies,"TN, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,MLOps Engineer,Coffee Beans,"KA, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,Software Engineering Manager,Gen Digital Inc.,"TN, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Senior QA Engineer (AI),Weekday,"KA, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,EY - GDS Consulting - AIA -Data Scientist Applied Optimisation - Manager,EY,"KA, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Data Engineer (Azure Synapse + Tableau),Kasmoprav,"Remote, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,AI/ML Engineer,SOURCE INTEGRETA,"UP, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,IT Recruiter,Mobile Programming India Pvt Ltd,"PB, IN",2026-06-24,₹6L - ₹17L PA 
